"ATF3","ATF4","BHLHE40","CEBPB","CEBPD","DDIT3","E2F1","E2F8","ELF3","FOS","FOSB","FOSL2","GATA5","HES1","HMGA1","HMGA2","JUN","JUNB","JUND","KLF10","KLF4","KLF5","KLF6","MAFF","MAFG","MAFK","MYBL2","RBPJL","SOX11","SOX4","SOX9","YBX1","Attr_Size"
1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2909
1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2730
1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,433
1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,2950
1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2728
1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,154
1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,2701
1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,299
1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,2647
1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,162
1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,37
1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,98
1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,115
1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,134
1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,125
1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,503
1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,158
1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,169
1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,38
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,273
0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,2
1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,113
1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,97
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,6
1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,29
1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,37
0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,2
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7
0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
1,0.5,0.5,0,0.5,0.5,0.5,0.5,0,1,1,1,0,0.5,0,0,0.5,0.5,0.5,0,0.5,1,0.5,0,0,0.5,0.5,0.5,0,0,0,0,9210
1,1,1,0,1,1,0,0,0.5,1,1,1,0.5,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,482
1,0.5,0.5,0,0.5,0.5,0,0,0,1,1,1,0,0.5,1,1,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,1,6093
1,0.5,0.5,0,0.5,0.5,0.5,0.5,0,1,1,1,0,0.5,1,1,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0,1,6309
1,0.5,0.5,0,0.5,0.5,0.5,0.5,0,1,1,1,0,0.5,1,1,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0,1,6062
1,0.5,0.5,0,0.5,0.5,1,1,0,1,1,1,0,0.5,0,0,0.5,0.5,0.5,0,0.5,1,0.5,0,0,0.5,1,0.5,0,0,0,0,9310
1,0.5,0.5,0,0.5,0.5,0.5,0.5,0,1,1,1,0,0.5,0,0,0.5,0.5,0.5,0,0.5,1,0.5,0,0,0.5,0.5,0.5,0,0,0,0,9255
1,1,1,0,1,0,0.5,0.5,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0.5,0,0,0,1,0,6014
0.5,1,0.5,0,1,0.5,0,0,0,1,1,0.5,0,0.5,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0.5,1,340
1,0.5,0.5,0,0.5,0.5,1,1,0.5,1,1,1,0.5,0.5,1,1,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,1,0.5,0,0,0,1,3613
1,1,0,0,0,0.5,1,1,0,1,0.5,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1707
1,0.5,0.5,0,0.5,0.5,0,0,0.5,1,1,1,0.5,0.5,1,1,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,1,3782
1,1,0,0,0,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,1,0,0,0,0,281
1,1,0,0,0,0.5,0,0,0.5,1,0.5,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,990
1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,1,1,1,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,1,0.5,0,0,0.5,0.5,0.5,0,0.5,0.5,0,705
1,1,0,0,0,1,0.5,0.5,0.5,1,1,1,0.5,0,1,1,0,0,0,0,1,0,0,0,0,1,0.5,1,0,0,0,1,1115
0.5,1,0.5,0,1,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0,0,1,1,1,0,0,0,1,0,0,1,0.5,0,0,0,0.5,0,286
1,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,1,1,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0,1,3732
1,1,0,0,0,1,0.5,0.5,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0.5,1,0,0,0,1,5119
1,1,0,0,0,0.5,0,0,0,1,0.5,0.5,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1609
1,1,0.5,0.5,0.5,0.5,1,1,0,1,0.5,0.5,0,0,1,1,0,0.5,0,0.5,1,0,0,0,0,1,1,1,0,0.5,0,1,711
1,0.5,0.5,0.5,0.5,0.5,0,0,0,1,1,1,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,1,0.5,0,0,0.5,0,0.5,0,0.5,0.5,0,701
1,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,1,1,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0,1,3602
1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0,0,0,0.5,0,0.5,1,0,0,0,0,1,0.5,1,0.5,0.5,0,0,455
1,1,0.5,0.5,0.5,0.5,0,0,0.5,1,0.5,0.5,0.5,0,0,0,0,0.5,0,0.5,1,0,0,0,0,1,0,1,0.5,0.5,0,0,461
1,1,0,0,0,1,1,1,0.5,1,1,1,0.5,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1144
1,1,1,0,1,0.5,0.5,0.5,0.5,1,1,1,0.5,1,1,1,1,1,1,0,0,0,1,0,0.5,0.5,0.5,0,0,0,1,1,852
1,1,0,0,0,1,0,0,0.5,1,1,1,0.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1090
1,1,1,0,1,0.5,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0.5,0.5,1,0,0,0,1,1,637
1,1,0,0,0,1,1,1,0.5,1,1,1,0.5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1049
1,1,0,0,0,1,0.5,0.5,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,1,0,0,0,0,5408
1,1,0.5,0.5,0.5,0.5,1,1,0.5,1,0.5,0.5,0.5,0,0,0,0,0.5,0,0.5,1,0,0,0,0,1,1,1,0,0.5,0,0,392
0.5,1,0.5,0,1,0.5,0,0,0.5,1,1,0.5,0.5,0.5,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0.5,1,258
1,1,0,0,0,0.5,0.5,0.5,0,1,0.5,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.5,1,0,0,0,0,1698
1,1,0.5,0.5,0.5,0.5,1,1,0.5,1,0.5,0.5,0.5,0,1,1,0,0.5,0,0.5,1,0,0,0,0,1,1,1,0.5,0.5,0,1,455
1,1,0,0,0,0.5,0,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1824
1,0.5,0.5,0,0.5,0.5,1,1,0,1,1,1,0,0.5,1,1,0.5,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0.5,1,0.5,0,0,0,1,6294
