source,target,r_auc,pval,sign,type
FOS,JUN,0.9624,0.0,1,activation
JUN,FOS,0.9624,0.0,1,activation
FOSB,ATF3,0.9606,0.0,1,activation
ATF3,FOSB,0.9606,0.0,1,activation
ATF4,JUND,0.9586,0.0,1,activation
JUN,FOSB,0.9498,0.0,1,activation
FOSB,JUN,0.9498,0.0,1,activation
ATF3,JUN,0.9497,0.0,1,activation
JUN,ATF3,0.9497,0.0,1,activation
JUNB,JUND,0.9444,0.0,1,activation
JUND,MAFF,0.9338,0.0,1,activation
MAFF,JUND,0.9338,0.0,1,activation
ATF4,MAFF,0.9323,0.0,1,activation
CEBPB,MAFF,0.9322,0.0,1,activation
MAFF,CEBPB,0.9322,0.0,1,activation
JUNB,ATF4,0.9304,0.0,1,activation
ATF4,JUNB,0.9304,0.0,1,activation
KLF4,ATF3,0.9202,0.0,1,activation
FOS,FOSB,0.92,0.0,1,activation
MYBL2,E2F1,0.9139,0.0,1,activation
E2F1,MYBL2,0.9139,0.0,1,activation
JUND,KLF6,0.9116,0.0,1,activation
KLF6,JUND,0.9116,0.0,1,activation
HMGA2,HMGA1,0.9113,0.0,1,activation
HMGA1,HMGA2,0.9113,0.0,1,activation
ATF3,FOS,0.9067,0.0,1,activation
FOS,ATF3,0.9067,0.0,1,activation
ATF4,KLF6,0.9055,0.0,1,activation
JUNB,KLF6,0.9017,0.0,1,activation
JUNB,FOS,0.9013,0.0,1,activation
FOS,JUNB,0.9013,0.0,1,activation
E2F8,MYBL2,0.8983,0.0,1,activation
MYBL2,E2F8,0.8983,0.0,1,activation
ATF4,CEBPB,0.8977,0.0,1,activation
MAFF,JUNB,0.8975,0.0,1,activation
JUNB,BHLHE40,0.8908,0.0,1,activation
JUN,JUNB,0.8882,0.0,1,activation
JUNB,JUN,0.8882,0.0,1,activation
KLF4,JUN,0.8874,0.0,1,activation
JUN,KLF4,0.8874,0.0,1,activation
KLF4,FOSB,0.8867,0.0,1,activation
FOSB,KLF4,0.8867,0.0,1,activation
FOS,BHLHE40,0.8822,0.0,1,activation
CEBPB,JUND,0.8817,0.0,1,activation
MAFF,KLF6,0.8803,0.0,1,activation
JUNB,CEBPB,0.8747,0.0,1,activation
ELF3,GATA5,0.871,0.0,1,activation
GATA5,ELF3,0.871,0.0,1,activation
FOS,KLF4,0.8612,0.0,1,activation
KLF4,JUND,0.8576,0.0,1,activation
JUND,KLF4,0.8576,0.0,1,activation
JUN,HES1,0.8558,0.0,1,activation
JUND,BHLHE40,0.8527,0.0,1,activation
BHLHE40,JUN,0.8527,0.0,1,activation
HES1,ATF3,0.8524,0.0,1,activation
ATF3,HES1,0.8524,0.0,1,activation
ATF4,HES1,0.8495,0.0,1,activation
ATF3,FOSL2,0.8484,0.0,1,activation
FOSL2,ATF3,0.8484,0.0,1,activation
ATF3,JUNB,0.8479,0.0,1,activation
JUNB,HES1,0.8478,0.0,1,activation
ATF3,BHLHE40,0.8368,0.0,1,activation
FOSL2,KLF4,0.8365,0.0,1,activation
LTF,GATA5,0.8365,0.0,1,activation
KLF6,KLF4,0.836,0.0,1,activation
FOS,JUND,0.8316,0.0,1,activation
JUND,FOS,0.8316,0.0,1,activation
FOS,KLF6,0.8301,0.0,1,activation
JUN,KLF6,0.8276,0.0,1,activation
JUND,HES1,0.8265,0.0,1,activation
HES1,JUND,0.8265,0.0,1,activation
ATF3,JUND,0.825,0.0,1,activation
JUND,ATF3,0.825,0.0,1,activation
KLF6,HES1,0.822,0.0,1,activation
HES1,KLF6,0.822,0.0,1,activation
SOX4,KLF6,0.8197,0.0,1,activation
JUND,JUN,0.8194,0.0,1,activation
JUN,JUND,0.8194,0.0,1,activation
ATF3,ATF4,0.8162,0.0,1,activation
ATF4,ATF3,0.8162,0.0,1,activation
SOX4,JUND,0.8153,0.0,1,activation
JUND,SOX4,0.8153,0.0,1,activation
ATF4,BHLHE40,0.8147,0.0,1,activation
BHLHE40,FOSB,0.8143,0.0,1,activation
FOSB,BHLHE40,0.8143,0.0,1,activation
FOSB,FOSL2,0.8096,0.0,1,activation
FOSL2,FOSB,0.8096,0.0,1,activation
KLF6,ATF3,0.8008,0.0,1,activation
ATF3,KLF6,0.8008,0.0,1,activation
BHLHE40,KLF6,0.8005,0.0,1,activation
KLF6,BHLHE40,0.8005,0.0,1,activation
FOS,HES1,0.8003,0.0,1,activation
JUNB,FOSB,0.7991,0.0,1,activation
FOSB,JUNB,0.7991,0.0,1,activation
MAFF,KLF4,0.7948,0.0,1,activation
E2F1,E2F8,0.7939,0.0,1,activation
BHLHE40,HES1,0.7793,0.0,1,activation
HES1,BHLHE40,0.7793,0.0,1,activation
SOX4,JUNB,0.7704,0.0,1,activation
CEBPB,KLF10,0.7649,0.0,1,activation
KLF10,CEBPB,0.7649,0.0,1,activation
ATF4,SOX4,0.7637,0.0,1,activation
JUND,FOSB,0.7571,0.0,1,activation
FOSB,JUND,0.7571,0.0,1,activation
CEBPB,BHLHE40,0.7548,0.0,1,activation
YBX1,HMGA2,0.7543,0.0,1,activation
