source,target,sign,corr,pval,type,method
ATF3,KLF6,1,0.789,0.0,activation,auc_corr
ATF3,JUN,1,0.9459,0.0,activation,auc_corr
ATF3,JUND,1,0.8131,0.0,activation,auc_corr
ATF3,MAFF,1,0.7082,0.0,activation,auc_corr
ATF3,FOS,1,0.9023,0.0,activation,auc_corr
ATF3,FOSB,1,0.9515,0.0,activation,auc_corr
ATF3,HES1,1,0.8456,0.0,activation,auc_corr
ATF3,BHLHE40,1,0.8315,0.0,activation,auc_corr
ATF3,KLF10,1,0.4424,0.0,activation,auc_corr
ATF3,FOSL2,1,0.8221,0.0,activation,auc_corr
ATF3,ATF4,1,0.8045,0.0,activation,auc_corr
ATF3,MAFK,1,0.5054,0.0,activation,auc_corr
ATF3,ELF3,1,0.1992,0.0,activation,auc_corr
ATF3,JUNB,1,0.8385,0.0,activation,auc_corr
ATF4,CEBPB,1,0.8918,0.0,activation,auc_corr
ATF4,KLF6,1,0.8972,0.0,activation,auc_corr
ATF4,JUND,1,0.9556,0.0,activation,auc_corr
ATF4,SOX4,1,0.758,0.0,activation,auc_corr
ATF4,MAFF,1,0.9265,0.0,activation,auc_corr
ATF4,DDIT3,1,0.5593,0.0,activation,auc_corr
ATF4,HES1,1,0.8415,0.0,activation,auc_corr
ATF4,BHLHE40,1,0.8097,0.0,activation,auc_corr
ATF4,KLF10,1,0.7001,0.0,activation,auc_corr
ATF4,ATF3,1,0.8045,0.0,activation,auc_corr
ATF4,KLF5,1,0.6752,0.0,activation,auc_corr
ATF4,JUNB,1,0.9259,0.0,activation,auc_corr
BHLHE40,KLF6,1,0.7968,0.0,activation,auc_corr
BHLHE40,JUN,1,0.8463,0.0,activation,auc_corr
BHLHE40,DDIT3,1,0.4208,0.0,activation,auc_corr
BHLHE40,SOX9,1,0.4297,0.0,activation,auc_corr
BHLHE40,FOSB,1,0.7967,0.0,activation,auc_corr
BHLHE40,HES1,1,0.7694,0.0,activation,auc_corr
BHLHE40,KLF10,1,0.6097,0.0,activation,auc_corr
BHLHE40,FOSL2,1,0.6428,0.0,activation,auc_corr
CEBPB,SOX17,1,0.1353,0.0,activation,auc_corr
CEBPB,SOX4,1,0.6807,0.0,activation,auc_corr
CEBPB,MAFF,1,0.9312,0.0,activation,auc_corr
CEBPB,DDIT3,1,0.407,0.0,activation,auc_corr
CEBPB,SOX9,1,0.2674,0.0,activation,auc_corr
CEBPB,GATA6,1,0.2621,0.0,activation,auc_corr
CEBPB,BHLHE40,1,0.7488,0.0,activation,auc_corr
CEBPB,KLF10,1,0.7572,0.0,activation,auc_corr
CEBPB,FOSL2,1,0.5068,0.0,activation,auc_corr
CEBPB,HES1,1,0.7147,0.0,activation,auc_corr
CEBPB,KLF4,1,0.7234,0.0,activation,auc_corr
CEBPB,JUND,1,0.8803,0.0,activation,auc_corr
CEBPB,KLF5,1,0.7192,0.0,activation,auc_corr
CEBPD,CEBPB,1,0.4587,0.0,activation,auc_corr
CEBPD,FOS,1,0.4723,0.0,activation,auc_corr
DDIT3,CEBPB,1,0.407,0.0,activation,auc_corr
DDIT3,MAFG,1,0.1153,0.0,activation,auc_corr
DDIT3,ATF4,1,0.5593,0.0,activation,auc_corr
DDIT3,ATF3,1,0.5367,0.0,activation,auc_corr
E2F1,MYBL2,1,0.9207,0.0,activation,auc_corr
E2F1,E2F8,1,0.7454,0.0,activation,auc_corr
E2F1,MXD3,1,0.2904,0.0,activation,auc_corr
E2F8,MXD3,1,0.5144,0.0,activation,auc_corr
E2F8,MYBL2,1,0.8751,0.0,activation,auc_corr
ELF3,JUN,1,0.1594,0.0,activation,auc_corr
ELF3,GATA5,1,0.8758,0.0,activation,auc_corr
ELF3,BHLHE40,1,0.2118,0.0,activation,auc_corr
ELF3,KLF10,1,0.3233,0.0,activation,auc_corr
ELF3,FOSL2,1,0.2176,0.0,activation,auc_corr
ELF3,KLF4,1,0.2008,0.0,activation,auc_corr
ELF3,ATF3,1,0.1992,0.0,activation,auc_corr
ELF3,MAFK,1,0.6849,0.0,activation,auc_corr
ELF3,KLF5,1,0.3102,0.0,activation,auc_corr
ELK3,SOX18,1,0.3935,0.0,activation,auc_corr
FOS,KLF6,1,0.8182,0.0,activation,auc_corr
FOS,JUN,1,0.9603,0.0,activation,auc_corr
FOS,CEBPD,1,0.4723,0.0,activation,auc_corr
FOS,SOX4,1,0.684,0.0,activation,auc_corr
FOS,SOX9,1,0.4484,0.0,activation,auc_corr
FOS,FOSB,1,0.9097,0.0,activation,auc_corr
FOS,HES1,1,0.7906,0.0,activation,auc_corr
FOS,BHLHE40,1,0.8804,0.0,activation,auc_corr
FOS,KLF10,1,0.5319,0.0,activation,auc_corr
FOS,KLF4,1,0.8591,0.0,activation,auc_corr
FOS,JUND,1,0.8179,0.0,activation,auc_corr
FOS,ATF3,1,0.9023,0.0,activation,auc_corr
FOS,JUNB,1,0.8936,0.0,activation,auc_corr
FOSB,KLF6,1,0.7227,0.0,activation,auc_corr
FOSB,JUN,1,0.9433,0.0,activation,auc_corr
FOSB,SOX9,1,0.448,0.0,activation,auc_corr
FOSB,GATA6,1,0.1387,0.0,activation,auc_corr
FOSB,BHLHE40,1,0.7967,0.0,activation,auc_corr
FOSB,KLF10,1,0.3795,0.0,activation,auc_corr
FOSB,FOSL2,1,0.7936,0.0,activation,auc_corr
FOSB,KLF4,1,0.8782,0.0,activation,auc_corr
FOSB,JUND,1,0.7175,0.0,activation,auc_corr
FOSB,ATF3,1,0.9515,0.0,activation,auc_corr
FOSB,JUNB,1,0.7689,0.0,activation,auc_corr
FOSL1,MAFF,1,0.6897,0.0,activation,auc_corr
FOSL1,FOSL2,1,0.642,0.0,activation,auc_corr
FOSL1,ATF4,1,0.6842,0.0,activation,auc_corr
FOSL1,ATF3,1,0.552,0.0,activation,auc_corr
FOSL1,MAFK,1,0.5405,0.0,activation,auc_corr
FOSL2,DDIT3,1,0.6192,0.0,activation,auc_corr
FOSL2,MAFF,1,0.5721,0.0,activation,auc_corr
FOSL2,FOSB,1,0.7936,0.0,activation,auc_corr
FOSL2,KLF4,1,0.8151,0.0,activation,auc_corr
FOSL2,ATF3,1,0.8221,0.0,activation,auc_corr
FOSL2,MAFK,1,0.5543,0.0,activation,auc_corr
FOXM1,MXD3,1,0.5594,0.0,activation,auc_corr
GATA5,SOX17,1,0.6638,0.0,activation,auc_corr
GATA5,ELF3,1,0.8758,0.0,activation,auc_corr
GATA6,FOSL2,1,0.1642,0.0,activation,auc_corr
HES1,KLF6,1,0.8138,0.0,activation,auc_corr
HES1,BHLHE40,1,0.7694,0.0,activation,auc_corr
HES1,KLF10,1,0.4828,0.0,activation,auc_corr
HES1,JUND,1,0.814,0.0,activation,auc_corr
HES1,ATF3,1,0.8456,0.0,activation,auc_corr
HLTF,HEY1,1,0.2298,0.0,activation,auc_corr
HMGA1,HMGA2,1,0.913,0.0,activation,auc_corr
HMGA2,MAFG,1,0.1072,0.0,activation,auc_corr
HMGA2,ELK3,1,0.225,0.0,activation,auc_corr
HMGA2,FOSL2,-1,-0.2057,0.0,inhibition,auc_corr
HMGA2,SOX2,1,0.1191,0.0,activation,auc_corr
HMGA2,HMGA1,1,0.913,0.0,activation,auc_corr
HMGA2,KLF5,1,0.347,0.0,activation,auc_corr
HOXD8,MSX1,1,0.3077,0.0,activation,auc_corr
HOXD8,EBF1,1,0.188,0.0,activation,auc_corr
JUN,KLF6,1,0.8137,0.0,activation,auc_corr
JUN,JUND,1,0.7988,0.0,activation,auc_corr
JUN,DDIT3,1,0.4752,0.0,activation,auc_corr
JUN,SOX9,1,0.4767,0.0,activation,auc_corr
JUN,FOS,1,0.9603,0.0,activation,auc_corr
JUN,FOSB,1,0.9433,0.0,activation,auc_corr
JUN,HES1,1,0.8457,0.0,activation,auc_corr
JUN,FOSL2,1,0.7186,0.0,activation,auc_corr
JUN,KLF4,1,0.8838,0.0,activation,auc_corr
JUN,ATF3,1,0.9459,0.0,activation,auc_corr
JUN,JUNB,1,0.8756,0.0,activation,auc_corr
JUNB,CEBPB,1,0.8702,0.0,activation,auc_corr
JUNB,JUN,1,0.8756,0.0,activation,auc_corr
JUNB,SOX11,1,0.3399,0.0,activation,auc_corr
JUNB,KLF6,1,0.8941,0.0,activation,auc_corr
JUNB,CEBPD,1,0.5323,0.0,activation,auc_corr
JUNB,DDIT3,1,0.4915,0.0,activation,auc_corr
JUNB,FOS,1,0.8936,0.0,activation,auc_corr
JUNB,FOSB,1,0.7689,0.0,activation,auc_corr
JUNB,HES1,1,0.8389,0.0,activation,auc_corr
JUNB,BHLHE40,1,0.8901,0.0,activation,auc_corr
JUNB,KLF10,1,0.721,0.0,activation,auc_corr
JUNB,FOSL2,1,0.6052,0.0,activation,auc_corr
JUNB,ATF4,1,0.9259,0.0,activation,auc_corr
JUNB,JUND,1,0.9425,0.0,activation,auc_corr
JUNB,ELF3,1,0.3253,0.0,activation,auc_corr
JUND,MAFG,1,0.247,0.0,activation,auc_corr
JUND,BHLHE40,1,0.8508,0.0,activation,auc_corr
JUND,FOSL2,1,0.6352,0.0,activation,auc_corr
JUND,KLF4,1,0.847,0.0,activation,auc_corr
JUND,ATF3,1,0.8131,0.0,activation,auc_corr
JUND,MAFK,1,0.5251,0.0,activation,auc_corr
JUND,JUN,1,0.7988,0.0,activation,auc_corr
JUND,SOX4,1,0.812,0.0,activation,auc_corr
JUND,MAFF,1,0.9295,0.0,activation,auc_corr
JUND,FOS,1,0.8179,0.0,activation,auc_corr
JUND,FOSB,1,0.7175,0.0,activation,auc_corr
JUND,KLF5,1,0.6756,0.0,activation,auc_corr
JUND,KLF6,1,0.8988,0.0,activation,auc_corr
JUND,DDIT3,1,0.4899,0.0,activation,auc_corr
JUND,HES1,1,0.814,0.0,activation,auc_corr
KLF10,CEBPB,1,0.7572,0.0,activation,auc_corr
KLF10,MAFG,1,0.1933,0.0,activation,auc_corr
KLF10,ATF3,1,0.4424,0.0,activation,auc_corr
KLF4,CEBPB,1,0.7234,0.0,activation,auc_corr
KLF4,JUN,1,0.8838,0.0,activation,auc_corr
KLF4,FOSB,1,0.8782,0.0,activation,auc_corr
KLF4,SOX9,1,0.3906,0.0,activation,auc_corr
KLF4,GATA6,1,0.2187,0.0,activation,auc_corr
KLF4,JUND,1,0.847,0.0,activation,auc_corr
KLF4,ATF3,1,0.9183,0.0,activation,auc_corr
KLF4,KLF5,1,0.4949,0.0,activation,auc_corr
KLF5,ATF3,1,0.4001,0.0,activation,auc_corr
KLF6,SOX11,1,0.3226,0.0,activation,auc_corr
KLF6,MYBL2,-1,-0.2393,0.0,inhibition,auc_corr
KLF6,HES1,1,0.8138,0.0,activation,auc_corr
KLF6,BHLHE40,1,0.7968,0.0,activation,auc_corr
KLF6,GATA6,1,0.1739,0.0,activation,auc_corr
KLF6,FOSL2,1,0.6144,0.0,activation,auc_corr
KLF6,KLF4,1,0.8327,0.0,activation,auc_corr
KLF6,E2F1,-1,-0.3136,0.0,inhibition,auc_corr
KLF6,JUND,1,0.8988,0.0,activation,auc_corr
KLF6,ATF3,1,0.789,0.0,activation,auc_corr
KLF6,KLF5,1,0.6397,0.0,activation,auc_corr
LTF,GATA5,1,0.8398,0.0,activation,auc_corr
LTF,FOSL2,1,0.1128,0.0,activation,auc_corr
MAFF,CEBPB,1,0.9312,0.0,activation,auc_corr
MAFF,KLF6,1,0.8658,0.0,activation,auc_corr
MAFF,JUND,1,0.9295,0.0,activation,auc_corr
MAFF,FOSL2,1,0.5721,0.0,activation,auc_corr
MAFF,KLF4,1,0.7795,0.0,activation,auc_corr
MAFF,ATF3,1,0.7082,0.0,activation,auc_corr
MAFF,MAFK,1,0.533,0.0,activation,auc_corr
MAFF,KLF5,1,0.6795,0.0,activation,auc_corr
MAFF,JUNB,1,0.8918,0.0,activation,auc_corr
MAFG,MAFK,1,0.595,0.0,activation,auc_corr
MAFK,FOSL1,1,0.5405,0.0,activation,auc_corr
MAFK,MAFG,1,0.595,0.0,activation,auc_corr
MAFK,DDIT3,1,0.4458,0.0,activation,auc_corr
MAFK,MAFF,1,0.533,0.0,activation,auc_corr
MAFK,LTF,1,0.5205,0.0,activation,auc_corr
MAFK,HES1,1,0.5745,0.0,activation,auc_corr
MAFK,FOSL2,1,0.5543,0.0,activation,auc_corr
MAFK,ATF4,1,0.5887,0.0,activation,auc_corr
MAFK,ATF3,1,0.5054,0.0,activation,auc_corr
MAFK,ELF3,1,0.6849,0.0,activation,auc_corr
MSX1,HOXD8,1,0.3077,0.0,activation,auc_corr
MXD3,E2F8,1,0.5144,0.0,activation,auc_corr
MYBL2,E2F8,1,0.8751,0.0,activation,auc_corr
MYBL2,E2F1,1,0.9207,0.0,activation,auc_corr
MYBL2,MXD3,1,0.4716,0.0,activation,auc_corr
NEUROD1,RBPJL,1,0.1292,0.0,activation,auc_corr
POU2F3,SPIB,1,0.8382,0.0,activation,auc_corr
RBPJL,NEUROD1,1,0.1292,0.0,activation,auc_corr
SOX11,JUNB,1,0.3399,0.0,activation,auc_corr
SOX4,KLF6,1,0.8011,0.0,activation,auc_corr
SOX4,HMGA2,1,0.4818,0.0,activation,auc_corr
SOX4,JUND,1,0.812,0.0,activation,auc_corr
SOX4,JUNB,1,0.7646,0.0,activation,auc_corr
SOX9,FOSL2,1,0.2962,0.0,activation,auc_corr
SOX9,DDIT3,1,0.1585,0.0,activation,auc_corr
SPIB,POU2F3,1,0.8382,0.0,activation,auc_corr
YBX1,HMGA2,1,0.7573,0.0,activation,auc_corr
YBX1,MAFG,1,0.3705,0.0,activation,auc_corr
YBX1,ELK3,1,0.2181,0.0,activation,auc_corr
YBX1,PAX6,-1,-0.1296,0.0,inhibition,auc_corr
YBX1,HES1,1,0.1512,0.0,activation,auc_corr
YBX1,BHLHE40,1,0.2798,0.0,activation,auc_corr
YBX1,HMGA1,1,0.748,0.0,activation,auc_corr
YBX1,KLF5,1,0.4691,0.0,activation,auc_corr
